Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
P63175,Crotalus viridis viridis (Prairie rattlesnake),Crotamine-myotoxin family,45,,,
P01477,Crotalus oreganus helleri (Southern pacific rattlesnake) (Crotalus viridis helleri),Crotamine-myotoxin family,70,,LD(50) is 1.96 mg/kg by intravenous injection. {ECO:0000269|PubMed:694946}.,
P0C5F8,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
B1NWT7,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",79,,,
P10454,Anthopleura fuscoviridis (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",48,,LD(50) is 450 ug/kg by intraperitoneal injection into mice. {ECO:0000303|PubMed:15169781}.,
P69928,Antheopsis maculata (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",74,,LD(50) is 70 ug/kg into crabs. {ECO:0000269|PubMed:15581681}.,
P0C1F5,Bunodosoma granuliferum (Red warty sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",48,,LD(50) is 21 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:7911468}.,
P0C5F5,Anthopleura sp. (strain 'Zhanjiang') (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
B1NWT5,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",83,,,
P01531,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",49,,,
A7SCE5,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
P30785,Heteractis crispa (Leathery sea anemone) (Radianthus macrodactylus),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",47,,,
B1NWR6,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
O73799,Crotalus durissus terrificus (South American rattlesnake),Crotamine-myotoxin family,64,,,
P86194,Crotalus durissus cumanensis (South American rattlesnake),Crotamine-myotoxin family,42,,LD(50) is 0.06 mg/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:17828447}.,
P0C5F7,Anthopleura sp. (strain 'Zhanjiang') (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P10453,Anthopleura fuscoviridis (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P0DL49,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",80,,Dose that immobilizes and contracts insects (ED(50)) is 3.7 pmol/g body weight when intersegmentally injected into S.falculata. {ECO:0000269|PubMed:16846229}.,
Q7M425,Bunodosoma caissarum (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",48,,LD(50) is 600 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15169781}.,
P30831,Heteractis crispa (Leathery sea anemone) (Radianthus macrodactylus),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",48,,,
Q66S08,Thalassophryne nattereri (Niquim),Natterin family,71,,,
P0C023,Myrmecia pilosula (Jack jumper ant) (Australian jumper ant),Pilosulin family,23,,LD(50) of the heterodimer is 260.1 +- 16.6 pmol/g towards D.melanogaster. {ECO:0000269|PubMed:32629771}.,
P01476,Crotalus viridis viridis (Prairie rattlesnake),Crotamine-myotoxin family,42,,LD(50) is 3.0 mg/kg by intramuscular injection.,
Q9NJQ2,Actinia equina (Beadlet anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",82,,,
P0C1F0,Anthopleura elegantissima (Green aggregating anemone) (Actinia elegantissima),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,LD(50) is 10 ug/kg by intramuscular injection into crabs. {ECO:0000269|PubMed:11072049}.,
P0CH42,Condylactis passiflora (Pink tip anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P0C1F3,Anthopleura elegantissima (Green aggregating anemone) (Actinia elegantissima),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P0DL51,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",80,,Dose that immobilizes and contracts insects (ED(50)) is 3.7 pmol/g body weight when intersegmentally injected into S.falculata. {ECO:0000269|PubMed:16846229}.,
P0C5F4,Anthopleura sp. (strain 'Zhanjiang') (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,LD(50) is 1.4 mg/kg when intraperitoneally injected into mice. {ECO:0000269|PubMed:12782079}.,
P0C1F1,Anthopleura elegantissima (Green aggregating anemone) (Actinia elegantissima),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P01529,Anemonia sulcata (Mediterranean snakelocks sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",46,,,
B1NWT4,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",76,,,
P01530,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",49,,,
P82803,Bunodosoma cangicum (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",48,,,
Q76CA3,Stichodactyla gigantea (Giant carpet anemone) (Gigantic sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",74,,LD(50) is 70 ug/kg to crabs. {ECO:0000269|PubMed:12565742}.,
B1NWS1,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
Q66S21,Thalassophryne nattereri (Niquim),Natterin family,376,,,Contains 4 disulfide bonds
Q9Y0X4,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",72,,,
P83312,Parabuthus schlechteri (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",45,,,
Q5VJS9,Opistophthalmus carinatus (African yellow leg scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",61,,,
P86407,Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",75,,,
C9X4J0,Tityus discrepans (Venezuelan scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",77,,,
P0DL41,Centruroides suffusus suffusus (Mexican scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily",25,,,
G8YYA6,Androctonus amoreuxi (African fattail scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
L0GCV8,Urodacus yaschenkoi (Inland robust scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",79,,,
S6D3A7,Tityus serrulatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",73,,,
P0C8W1,Hadrurus gertschi (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",71,,,
P86825,Tityus serrulatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",13,,,
P0DME3,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",75,,,
Q5G8B3,Tityus costatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",73,,,
P86828,Tityus serrulatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",8,,,
P0DMF0,Heterometrus petersii (Asian forest scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",13,,,
B8XH50,Buthus occitanus israelis (Common yellow scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",67,,,
P0CI94,Lychas mucronatus (Chinese swimming scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,99,,,
P84189,Tityus serrulatus (Brazilian scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,25,,,"Hypotensin-1 undergoes enzymatic cleavages by carboxypeptidases, endopeptidases, and aminopeptidases resulting in at least 46 fragments of this protein"
P0CJ06,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",59,,,
P0CI92,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily",62,,,
P0C8W6,Tityus stigmurus (Brazilian scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,46,,,
D9U2B6,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",63,,,
Q9PWF3,Crotalus durissus terrificus (South American rattlesnake),Crotamine-myotoxin family,65,,LD(50) is 1.5 mg/kg by intravenous injection. {ECO:0000269|PubMed:1176086}.; LD(50) is 32.8 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:9839677}.,
P24332,Crotalus durissus terrificus (South American rattlesnake),Crotamine-myotoxin family,64,fragment,,
P01533,Anemonia sulcata (Mediterranean snakelocks sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",46,,,
B1NWU3,Actinia equina (Beadlet anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",82,,,
P0DL52,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",80,,,
P01528,Anemonia sulcata (Mediterranean snakelocks sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
B1NWU5,Actinia equina (Beadlet anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",82,,,
B1NWS4,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
P30832,Heteractis crispa (Leathery sea anemone) (Radianthus macrodactylus),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",48,,,"Delta-SHTX-Hcr1f (RTX-VI) may be the result of post-translational modification of delta-SHTX-Hcr1a (RTX-III), which would consist of Arg-13 cleavage"
B1NWS8,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
P0CH45,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
Q76CA0,Stichodactyla gigantea (Giant carpet anemone) (Gigantic sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",84,,LD(50) is 120 ug/kg to crabs. {ECO:0000269|PubMed:12565742}.,
P12029,Crotalus oreganus concolor (Midget faded rattlesnake) (Crotalus viridis concolor),Crotamine-myotoxin family,43,,,
P0DMZ1,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",81,,,
P69943,Anemonia erythraea (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,LD(50) is 2.2 ug/kg to crabs. {ECO:0000269|PubMed:9133656}.,
P0C5G5,Heteractis crispa (Leathery sea anemone) (Radianthus macrodactylus),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
B1NWU4,Actinia equina (Beadlet anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",82,,,
P0DL53,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",80,,,
P0C1F4,Bunodosoma granuliferum (Red warty sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",48,,LD(50) is 0.4 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:7911468}.,
B1NWU6,Actinia equina (Beadlet anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",81,,,
P0C5G2,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P0C5G3,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",49,,,
P0C7Q0,Bunodosoma cangicum (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",48,,,
P86459,Bunodosoma cangicum (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P0C280,Condylactis gigantea (Giant Caribbean anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,LD(50) is 1 ug/kg by injection at the junction between the body and the walking leg of crabs. {ECO:0000269|PubMed:16814340}.; LD(100) is 5 ug/g when injected into fly larvae (M.domestica). {ECO:0000269|PubMed:29109403}.,
P01534,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",48,,LD(50) is 4.2 mg/kg when intraperitoneally injected into mice. {ECO:0000269|PubMed:2412579}.; LD(50) is 12 ug/kg when intracutaneously injected into mice. {ECO:0000269|PubMed:2412579}.; LD(50) is 15 ug/kg when on crabs. {ECO:0000269|PubMed:2412579}.,
F1AWB0,Vaejovis mexicanus (Mexican scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",82,,,
Q5G8B0,Tityus costatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",74,,,
B9UIY3,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
P0DMG0,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",71,,,
P0DMF1,Chaerilus tryznai (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",91,,,
Q9GQW4,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",70,,,
P0DME5,Chaerilus tryznai (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",17,,,
P24334,Crotalus durissus terrificus (South American rattlesnake),Crotamine-myotoxin family,51,fragment,,
P19651,Stichodactyla helianthus (Sun anemone) (Stoichactis helianthus),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",48,,LD(50) is 0.3 ug/kg by intrahemocoelic injection. {ECO:0000269|PubMed:2568126}.,
P0CH90,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
B1B5I9,Stichodactyla haddoni (Saddle carpet anemone) (Haddon's sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",84,,LD(50) is 93 ug/kg into crabs. {ECO:0000269|PubMed:18243416}.,
D2KX91,Heterodactyla hemprichii (Hemprich's sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",84,,,
Q66S13,Thalassophryne nattereri (Niquim),Natterin family,387,,,Contains 4 disulfide bonds
A9CM07,Myrmecia banksi (Jack jumper ant) (Australian jumper ant),Pilosulin family,91,,,
D2KX92,Thalassianthus aster (Fuzzy-tipped anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",84,,LD(50) is 24 ug/kg to freshwater crabs. {ECO:0000269|PubMed:20817118}.,
P0CH46,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
B1NWR7,Nematostella vectensis (Starlet sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,
Q5G8B2,Tityus costatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",74,,,
P0DJ02,Heterometrus petersii (Asian forest scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
I0DEB3,Vaejovis mexicanus smithi (Scorpion) (Vaejovis smithi),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
L0GCI6,Urodacus yaschenkoi (Inland robust scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,The non-amidated UyCT3 does not show antimicrobial activity
D9U2B5,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",72,,,
P59866,Hottentotta tamulus sindicus (Scorpion) (Buthus sindicus),Non-disulfide-bridged peptide (NDBP) superfamily,34,,,
Q3HXZ1,Oxyuranus microlepidotus (Inland taipan),NGF-beta family,243,,,
Q3HXY6,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),NGF-beta family,244,,,
Q3HXY5,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),NGF-beta family,244,,,
Q3HXX4,Tropidechis carinatus (Australian rough-scaled snake),NGF-beta family,243,,,
Q9DEZ9,Crotalus durissus terrificus (South American rattlesnake),NGF-beta family,241,,,
P0DMD1,Echis ocellatus (Ocellated saw-scaled viper),NGF-beta family,168,fragment,,
P61899,Naja kaouthia (Monocled cobra) (Naja siamensis),NGF-beta family,116,,,
Q5G8B1,Tityus costatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",74,,,
P0DMI7,Heterometrus spinifer (Asia giant forest scorpion) (Malaysian black scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family",74,,,
P0DMJ0,Heterometrus spinifer (Asia giant forest scorpion) (Malaysian black scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family",74,,,
P0CJ19,Lychas mucronatus (Chinese swimming scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,59,,,
P82423,Pachycondyla goeldii (Ponerine ant),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily",25,,,
P0DL22,Tityus pachyurus (Colombian scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,25,,,
Q9TWD3,Buthus occitanus (Common European scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Scorpion BPP (group 1) family",21,,,
Q718F4,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
C7B247,Isometrus maculatus (Lesser brown scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
G1FE62,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",75,,,
I0DEB4,Vaejovis mexicanus smithi (Scorpion) (Vaejovis smithi),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",69,,,
R4JQZ0,Pandinus imperator (Emperor scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
L0GAZ8,Urodacus yaschenkoi (Inland robust scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
Q5G8B5,Tityus costatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",73,,,
P0C8W2,Hadrurus gertschi (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
I0DEB6,Mesomexovis subcristatus (Scorpion) (Vaejovis subcristatus),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
P0DMF3,Chaerilus tryznai (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",64,,,
P0DMF5,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",72,,,
P0DMF6,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",67,,,
F1CJ89,Hottentotta judaicus (Black scorpion) (Buthotus judaicus),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",45,fragment,,
P0CI95,Lychas mucronatus (Chinese swimming scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,104,,,
P0CJ15,Lychas mucronatus (Chinese swimming scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,96,,,
P0CI96,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",77,,,
C9X4J1,Tityus discrepans (Venezuelan scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,75,,,
Q07932,Myrmecia pilosula (Jack jumper ant) (Australian jumper ant),Pilosulin family,112,,,
P86193,Crotalus durissus cumanensis (South American rattlesnake),Crotamine-myotoxin family,42,,LD(50) is 0.07 mg/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:17828447}.,
P30783,Heteractis crispa (Leathery sea anemone) (Radianthus macrodactylus),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",48,,,
P08380,Heteractis magnifica (Magnificent sea anemone) (Radianthus magnifica),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",48,,LD(50) is 53 ug/kg when intraperitoneally injected into mice. {ECO:0000269|PubMed:2412579}.; LD(50) is 2.4 ug/kg when intracutaneously injected into mice. {ECO:0000269|PubMed:2412579}.; LD(50) is 10 ug/kg when on crabs. {ECO:0000269|PubMed:2412579}.,
P30784,Heteractis crispa (Leathery sea anemone) (Radianthus macrodactylus),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",48,,,
P0C5G6,Halcurias carlgreni (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",47,,LD(50) is 5.8 ug/kg against crabs. {ECO:0000269|PubMed:9133708}.,
Q66S17,Thalassophryne nattereri (Niquim),Natterin family,364,,,Contains 4 disulfide bonds
Q6JQN2,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",70,,,
S6CWV8,Tityus serrulatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",73,,,
P0CJ16,Lychas mucronatus (Chinese swimming scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,92,,,
P12028,Crotalus oreganus concolor (Midget faded rattlesnake) (Crotalus viridis concolor),Crotamine-myotoxin family,43,,,
P63176,Crotalus viridis viridis (Prairie rattlesnake),Crotamine-myotoxin family,45,,,
P63327,Crotalus durissus ruruima (South American rattlesnake) (Mt. Roraima rattlesnake),Crotamine-myotoxin family,42,,,
Q8MTX2,Opisthacanthus madagascariensis (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",71,,,IsCT2F is an enzymatic proteolytic cleavage product of IsCT2 by the proteases present in the venom
E4VP07,Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",70,,,
P0DMF9,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",64,,,
P0DJ03,Heterometrus petersii (Asian forest scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",70,,,
P0DME6,Heterometrus petersii (Asian forest scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",67,,,
P0DMF8,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",71,,,
P86827,Tityus serrulatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",7,,,
P0DME9,Heterometrus petersii (Asian forest scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
L0GCJ6,Urodacus yaschenkoi (Inland robust scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",82,,,
W4VS99,Trittame loki (Brush-footed trapdoor spider),Peptidase M13 family,722,,,Contains 5 disulfide bonds
Q3HXY0,Hoplocephalus stephensii (Stephens' banded snake),NGF-beta family,243,,,
A6MFL6,Demansia vestigiata (Lesser black whip snake) (Demansia atra),NGF-beta family,242,,,
Q9TWR4,Tityus serrulatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Scorpion BPP (group 1) family",13,,,
P83314,Opistophthalmus carinatus (African yellow leg scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",44,,,
C7C1L2,Opisthacanthus cayaporum (South American scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",81,,,
P83240,Pandinus imperator (Emperor scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family",24,,,
G8YYA5,Androctonus amoreuxi (African fattail scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
R4JJN6,Pandinus imperator (Emperor scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
P0DME4,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",75,,,
I0DEB5,Mesomexovis subcristatus (Scorpion) (Vaejovis subcristatus),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
A0A0A1I6N9,Androctonus crassicauda (Arabian fat-tailed scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
P86826,Tityus serrulatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",9,,,
P0CI89,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
P0DMF4,Chaerilus tryznai (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",67,,,
