Entry,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Protein existence,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat
P0C1X6,57059,Short scorpion toxin superfamily,62,,,,1: Evidence at protein level;,Tityus discrepans,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus discrepans,terrestrial
P83407,34649,Short scorpion toxin superfamily,31,,,,1: Evidence at protein level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
C0HJQ2,6871,Short scorpion toxin superfamily,31,,LD(50) is 1 ug/kg by intracerebro-ventricular injection in mice. {ECO:0000269|PubMed:26398235}.,,1: Evidence at protein level;,Buthus occitanus tunetanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus occitanus,terrestrial
P0C183,369776,Short scorpion toxin superfamily,29,,,,1: Evidence at protein level;,Tityus trivittatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus trivittatus,terrestrial
B3A0L5,369776,Short scorpion toxin superfamily,28,,,,1: Evidence at protein level;,Tityus trivittatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus trivittatus,terrestrial
P86271,6887,Short scorpion toxin superfamily,29,,,,1: Evidence at protein level;,Tityus serrulatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus serrulatus,terrestrial
P86270,6887,Short scorpion toxin superfamily,36,,,,1: Evidence at protein level;,Tityus serrulatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus serrulatus,terrestrial
C0HJT0,419285,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Rhopalurus junceus,Arthropoda,Arachnida,Scorpiones,Buthidae,Rhopalurus,Rhopalurus junceus,terrestrial
Q8MUB1,34649,Short scorpion toxin superfamily,62,,,,2: Evidence at transcript level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
P0DJ31,1562928,Short scorpion toxin superfamily,36,,,,1: Evidence at protein level;,Vaejovis smithi,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Vaejovis,Vaejovis smithi,terrestrial
P0DJ32,1562928,Short scorpion toxin superfamily,35,,,,1: Evidence at protein level;,Vaejovis smithi,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Vaejovis,Vaejovis smithi,terrestrial
P0DP36,500600,Short scorpion toxin superfamily,57,,,,1: Evidence at protein level;,Scorpiops tibetanus,Arthropoda,Arachnida,Scorpiones,Euscorpiidae,Scorpiops,Scorpiops tibetanus,terrestrial
F1CIY9,6863,Short scorpion toxin superfamily,62,,,,2: Evidence at transcript level;,Hottentotta judaicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta judaicus,terrestrial
F1CJ67,6863,Short scorpion toxin superfamily,62,,,,2: Evidence at transcript level;,Hottentotta judaicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta judaicus,terrestrial
F1CJ80,6863,Short scorpion toxin superfamily,62,,,,2: Evidence at transcript level;,Hottentotta judaicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Hottentotta,Hottentotta judaicus,terrestrial
B8XH30,539894,Short scorpion toxin superfamily,62,,,,2: Evidence at transcript level;,Buthus israelis,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus israelis,terrestrial
B8XH45,539894,Short scorpion toxin superfamily,62,,,,2: Evidence at transcript level;,Buthus israelis,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus israelis,terrestrial
B8XH47,539894,Short scorpion toxin superfamily,62,,,,2: Evidence at transcript level;,Buthus israelis,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus israelis,terrestrial
A7KJJ7,34649,Short scorpion toxin superfamily,57,,,,2: Evidence at transcript level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
D9U2B2,172552,Short scorpion toxin superfamily,58,,,,2: Evidence at transcript level;,Lychas mucronatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Lychas,Lychas mucronatus,terrestrial
A0A059UI21,123226,Short scorpion toxin superfamily,57,,,,3: Inferred from homology;,Mesobuthus gibbosus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus gibbosus,terrestrial
P0DL65,34649,Short scorpion toxin superfamily,58,,,,1: Evidence at protein level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
B8XH44,539894,Short scorpion toxin superfamily,73,,,Contains 4 disulfide bonds. {ECO:0000305}.,3: Inferred from homology;,Buthus israelis,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus israelis,terrestrial
P0CI83,172552,Short scorpion toxin superfamily,66,,,Contains 4 disulfide bonds. {ECO:0000305}.,3: Inferred from homology;,Lychas mucronatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Lychas,Lychas mucronatus,terrestrial
P0CI84,172552,Short scorpion toxin superfamily,66,,,Contains 4 disulfide bonds. {ECO:0000305}.,3: Inferred from homology;,Lychas mucronatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Lychas,Lychas mucronatus,terrestrial
A0A059UEE4,123226,Short scorpion toxin superfamily,73,,,Contains 4 disulfide bonds. {ECO:0000305}.,3: Inferred from homology;,Mesobuthus gibbosus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus gibbosus,terrestrial
R4GUQ3,497827,Short scorpion toxin superfamily,54,,,,1: Evidence at protein level;,Isometrus maculatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Isometrus,Isometrus maculatus,terrestrial
D9U2A6,172552,Short scorpion toxin superfamily,60,,,,2: Evidence at transcript level;,Lychas mucronatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Lychas,Lychas mucronatus,terrestrial
R4GUQ1,172552,Short scorpion toxin superfamily,60,,,,2: Evidence at transcript level;,Lychas mucronatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Lychas,Lychas mucronatus,terrestrial
P0CI86,172552,Short scorpion toxin superfamily,60,,,,2: Evidence at transcript level;,Lychas mucronatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Lychas,Lychas mucronatus,terrestrial
P0DL33,856992,Short scorpion toxin superfamily,66,,,,2: Evidence at transcript level;,Scorpiops margerisonae,Arthropoda,Arachnida,Scorpiones,Euscorpiidae,Scorpiops,Scorpiops margerisonae,terrestrial
P0DL34,587368,Short scorpion toxin superfamily,66,,,,2: Evidence at transcript level;,Scorpiops jendeki,Arthropoda,Arachnida,Scorpiones,Euscorpiidae,Scorpiops,Scorpiops jendeki,terrestrial
P0DL35,587368,Short scorpion toxin superfamily,66,,,,2: Evidence at transcript level;,Scorpiops jendeki,Arthropoda,Arachnida,Scorpiones,Euscorpiidae,Scorpiops,Scorpiops jendeki,terrestrial
P0DL62,6871,Short scorpion toxin superfamily,39,,LD(50) is below 5 ug/kg by intracerebroventricular injection into mice. A rapid paralysis in the lower half of the body was observed a few minutes after the injection and after 10 min the animals died.,,1: Evidence at protein level;,Buthus occitanus tunetanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus occitanus,terrestrial
P13487,6884,Short scorpion toxin superfamily,59,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P45628,6884,Short scorpion toxin superfamily,59,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P24663,34647,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Mesobuthus tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus tamulus,terrestrial
P0C167,244936,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Centruroides limbatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limbatus,terrestrial
Q9NII6,34649,Short scorpion toxin superfamily,57,,,,1: Evidence at protein level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
Q9NII5,34649,Short scorpion toxin superfamily,58,,,,1: Evidence at protein level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
P59848,244936,Short scorpion toxin superfamily,36,fragment,,,1: Evidence at protein level;,Centruroides limbatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limbatus,terrestrial
P83112,170972,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Parabuthus transvaalicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Parabuthus,Parabuthus transvaalicus,terrestrial
P0C182,6878,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Centruroides noxius,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides noxius,terrestrial
P59943,6884,Short scorpion toxin superfamily,59,,,,3: Inferred from homology;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P59944,6884,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
H2ETQ6,34649,Short scorpion toxin superfamily,59,,,,3: Inferred from homology;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
H2ER23,34649,Short scorpion toxin superfamily,57,,,,3: Inferred from homology;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
C0HJQ8,34648,Short scorpion toxin superfamily,58,,,,1: Evidence at protein level;,Mesobuthus eupeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus eupeus,terrestrial
C0HJQ7,34648,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Mesobuthus eupeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus eupeus,terrestrial
H2ER22,34649,Short scorpion toxin superfamily,58,,,,3: Inferred from homology;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
P08815,6878,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides noxius,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides noxius,terrestrial
P40755,29018,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides margaritatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides margaritatus,terrestrial
P45629,6876,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Centruroides limpidus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limpidus,terrestrial
Q9TXD1,6878,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Centruroides noxius,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides noxius,terrestrial
P59847,244936,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides limbatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limbatus,terrestrial
P59849,244936,Short scorpion toxin superfamily,34,fragment,,,1: Evidence at protein level;,Centruroides limbatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limbatus,terrestrial
P45630,6876,Short scorpion toxin superfamily,36,fragment,,,1: Evidence at protein level;,Centruroides limpidus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limpidus,terrestrial
P0C161,217897,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides elegans,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides elegans,terrestrial
P0C162,217897,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides elegans,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides elegans,terrestrial
P0C163,217897,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Centruroides elegans,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides elegans,terrestrial
P0C164,217897,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides elegans,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides elegans,terrestrial
P0C165,217897,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides elegans,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides elegans,terrestrial
P85529,6881,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Centruroides suffusus suffusus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides suffusus,terrestrial
P0DL43,1640428,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Heteroctenus garridoi,Arthropoda,Arachnida,Scorpiones,Buthidae,Heteroctenus,Heteroctenus garridoi,terrestrial
C0HJW1,1028682,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Centruroides tecomanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides tecomanus,terrestrial
C0HJW6,1028682,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides tecomanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides tecomanus,terrestrial
C0HJW5,1028682,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides tecomanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides tecomanus,terrestrial
P0DL70,6876,Short scorpion toxin superfamily,39,,,,1: Evidence at protein level;,Centruroides limpidus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limpidus,terrestrial
P59850,244936,Short scorpion toxin superfamily,23,fragment,,,1: Evidence at protein level;,Centruroides limbatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limbatus,terrestrial
P59851,244936,Short scorpion toxin superfamily,20,fragment,,,1: Evidence at protein level;,Centruroides limbatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides limbatus,terrestrial
P24662,6860,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Androctonus mauritanicus mauritanicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus mauritanicus,terrestrial
P46111,6884,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P46112,6884,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P46110,6884,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P45696,6858,Short scorpion toxin superfamily,59,,,,1: Evidence at protein level;,Androctonus australis,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus australis,terrestrial
Q9NII7,34649,Short scorpion toxin superfamily,60,,LD(50) is 2.0 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:9354615}.,,1: Evidence at protein level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
P55896,6892,Short scorpion toxin superfamily,38,,LD(50) is 2 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:15588251}.,,1: Evidence at protein level;,Orthochirus scrobiculosus,Arthropoda,Arachnida,Scorpiones,Buthidae,Orthochirus,Orthochirus scrobiculosus,terrestrial
P59886,42519,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Mesobuthus tamulus sindicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus tamulus,terrestrial
P59290,6871,Short scorpion toxin superfamily,37,,LD(50) is 5.5 ug/kg by intracerebroventricular injection. {ECO:0000269|PubMed:10669015}.,,1: Evidence at protein level;,Buthus occitanus tunetanus,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus occitanus,terrestrial
P0C908,539894,Short scorpion toxin superfamily,59,,,,1: Evidence at protein level;,Buthus israelis,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus israelis,terrestrial
P0C909,342590,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Odontobuthus doriae,Arthropoda,Arachnida,Scorpiones,Buthidae,Odontobuthus,Odontobuthus doriae,terrestrial
P0C8R1,112024,Short scorpion toxin superfamily,38,,LD(50) is 5 ug/kg by intracerebroventricular injection into mice (100 ng/mouse). {ECO:0000269|PubMed:18804453}.,,1: Evidence at protein level;,Androctonus amoreuxi,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus amoreuxi,terrestrial
P86396,34648,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Mesobuthus eupeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus eupeus,terrestrial
B3EWY0,123226,Short scorpion toxin superfamily,29,fragment,,,1: Evidence at protein level;,Mesobuthus gibbosus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus gibbosus,terrestrial
K7XFK5,123226,Short scorpion toxin superfamily,60,,,,2: Evidence at transcript level;,Mesobuthus gibbosus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus gibbosus,terrestrial
P0DL44,1388771,Short scorpion toxin superfamily,38,,LD(50) is 10 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:23523531}.,,1: Evidence at protein level;,Buthus paris,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus paris,terrestrial
C0HJQ4,34648,Short scorpion toxin superfamily,61,,,,1: Evidence at protein level;,Mesobuthus eupeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus eupeus,terrestrial
C0HJQ6,34648,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Mesobuthus eupeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus eupeus,terrestrial
P46114,6887,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Tityus serrulatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus serrulatus,terrestrial
P56219,6887,Short scorpion toxin superfamily,57,,,,1: Evidence at protein level;,Tityus serrulatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus serrulatus,terrestrial
P59925,57059,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Tityus discrepans,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus discrepans,terrestrial
P60210,1221240,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Tityus obscurus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus obscurus,terrestrial
Q5G8B6,309814,Short scorpion toxin superfamily,59,,,,1: Evidence at protein level;,Tityus costatus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus costatus,terrestrial
P0CB56,50344,Short scorpion toxin superfamily,37,,,,1: Evidence at protein level;,Tityus stigmurus,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,Tityus stigmurus,terrestrial
P16341,6884,Short scorpion toxin superfamily,31,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P31719,6860,Short scorpion toxin superfamily,31,,,,1: Evidence at protein level;,Androctonus mauritanicus mauritanicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus mauritanicus,terrestrial
Q9TVX3,34649,Short scorpion toxin superfamily,61,,"LD(50) is 1.85 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:11851432, ECO:0000269|PubMed:9151979}.",,1: Evidence at protein level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
P59869,34647,Short scorpion toxin superfamily,31,,,,1: Evidence at protein level;,Mesobuthus tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus tamulus,terrestrial
P59870,34647,Short scorpion toxin superfamily,31,,,,1: Evidence at protein level;,Mesobuthus tamulus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus tamulus,terrestrial
Q10726,55084,Short scorpion toxin superfamily,35,,LD(50) is 10 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:10931199}.,,1: Evidence at protein level;,Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,Pandinus imperator,terrestrial
P80719,1662106,Short scorpion toxin superfamily,34,,"LD(50) is 4 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:9022673, ECO:0000269|PubMed:9136903}.",,1: Evidence at protein level;,Scorpio palmatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Scorpio,Scorpio palmatus,terrestrial
P59867,118530,Short scorpion toxin superfamily,34,,,,1: Evidence at protein level;,Heterometrus spinifer,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus,Heterometrus spinifer,terrestrial
P58498,55084,Short scorpion toxin superfamily,38,,LD(50) is 10 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:12919322}.,,1: Evidence at protein level;,Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,Pandinus imperator,terrestrial
P58490,55084,Short scorpion toxin superfamily,38,,,,1: Evidence at protein level;,Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,Pandinus imperator,terrestrial
Q6XLL9,190115,Short scorpion toxin superfamily,61,,,,2: Evidence at transcript level;,Opistophthalmus carinatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus,Opistophthalmus carinatus,terrestrial
Q6XLL8,190115,Short scorpion toxin superfamily,61,,,,2: Evidence at transcript level;,Opistophthalmus carinatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus,Opistophthalmus carinatus,terrestrial
Q6XLL7,190115,Short scorpion toxin superfamily,61,,,,2: Evidence at transcript level;,Opistophthalmus carinatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus,Opistophthalmus carinatus,terrestrial
Q6XLL6,190115,Short scorpion toxin superfamily,61,,,,2: Evidence at transcript level;,Opistophthalmus carinatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus,Opistophthalmus carinatus,terrestrial
Q6XLL5,190115,Short scorpion toxin superfamily,60,,,,2: Evidence at transcript level;,Opistophthalmus carinatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus,Opistophthalmus carinatus,terrestrial
P0C194,167108,Short scorpion toxin superfamily,63,,,,1: Evidence at protein level;,Opisthacanthus madagascariensis,Arthropoda,Arachnida,Scorpiones,Hemiscorpiidae,Opisthacanthus,Opisthacanthus madagascariensis,terrestrial
P0C166,246982,Short scorpion toxin superfamily,35,,,,1: Evidence at protein level;,Anuroctonus phaiodactylus,Arthropoda,Arachnida,Scorpiones,Chactidae,Anuroctonus,Anuroctonus phaiodactylus,terrestrial
P84094,118530,Short scorpion toxin superfamily,34,,,,1: Evidence at protein level;,Heterometrus spinifer,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus,Heterometrus spinifer,terrestrial
P84864,380989,Short scorpion toxin superfamily,36,,,,1: Evidence at protein level;,Hadrurus gertschi,Arthropoda,Arachnida,Scorpiones,Caraboctonidae,Hadrurus,Hadrurus gertschi,terrestrial
P85528,520031,Short scorpion toxin superfamily,35,,LD(50) is 15 ug/kg by intracerebroventricular injection into C57BL mice. {ECO:0000269|PubMed:18699777}.,,1: Evidence at protein level;,Hemiscorpius lepturus,Arthropoda,Arachnida,Scorpiones,Hemiscorpiidae,Hemiscorpius,Hemiscorpius lepturus,terrestrial
C5J896,573324,Short scorpion toxin superfamily,67,,,,2: Evidence at transcript level;,Opisthacanthus cayaporum,Arthropoda,Arachnida,Scorpiones,Hemiscorpiidae,Opisthacanthus,Opisthacanthus cayaporum,terrestrial
P86116,573324,Short scorpion toxin superfamily,34,,,,1: Evidence at protein level;,Opisthacanthus cayaporum,Arthropoda,Arachnida,Scorpiones,Hemiscorpiidae,Opisthacanthus,Opisthacanthus cayaporum,terrestrial
P0DL37,1273102,Short scorpion toxin superfamily,62,,,,1: Evidence at protein level;,Urodacus yaschenkoi,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Urodacus,Urodacus yaschenkoi,terrestrial
C0HJN0,217256,Short scorpion toxin superfamily,34,,,"Contains 4 disulfide bonds. {ECO:0000269|PubMed:23657660, ECO:0000269|PubMed:24189292}.",1: Evidence at protein level;,Heterometrus laoticus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus,Heterometrus laoticus,terrestrial
P86115,573324,Short scorpion toxin superfamily,26,fragment,,,1: Evidence at protein level;,Opisthacanthus cayaporum,Arthropoda,Arachnida,Scorpiones,Hemiscorpiidae,Opisthacanthus,Opisthacanthus cayaporum,terrestrial
P86105,573324,Short scorpion toxin superfamily,14,fragment,,,1: Evidence at protein level;,Opisthacanthus cayaporum,Arthropoda,Arachnida,Scorpiones,Hemiscorpiidae,Opisthacanthus,Opisthacanthus cayaporum,terrestrial
P86106,573324,Short scorpion toxin superfamily,24,fragment,,,1: Evidence at protein level;,Opisthacanthus cayaporum,Arthropoda,Arachnida,Scorpiones,Hemiscorpiidae,Opisthacanthus,Opisthacanthus cayaporum,terrestrial
P55927,55084,Short scorpion toxin superfamily,47,fragment,,,1: Evidence at protein level;,Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,Pandinus imperator,terrestrial
P55928,55084,Short scorpion toxin superfamily,35,,,,1: Evidence at protein level;,Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus,Pandinus imperator,terrestrial
P56215,6860,Short scorpion toxin superfamily,29,,,,1: Evidence at protein level;,Androctonus mauritanicus mauritanicus,Arthropoda,Arachnida,Scorpiones,Buthidae,Androctonus,Androctonus mauritanicus,terrestrial
Q9U8D2,34649,Short scorpion toxin superfamily,57,,,,1: Evidence at protein level;,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial
P80670,6884,Short scorpion toxin superfamily,29,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P80671,6884,Short scorpion toxin superfamily,29,,,,1: Evidence at protein level;,Leiurus hebraeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Leiurus,Leiurus hebraeus,terrestrial
P0CC12,342590,Short scorpion toxin superfamily,29,,,,1: Evidence at protein level;,Odontobuthus doriae,Arthropoda,Arachnida,Scorpiones,Buthidae,Odontobuthus,Odontobuthus doriae,terrestrial
P86400,34648,Short scorpion toxin superfamily,29,,,,1: Evidence at protein level;,Mesobuthus eupeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus eupeus,terrestrial
C0HJQ5,34648,Short scorpion toxin superfamily,57,,,,1: Evidence at protein level;,Mesobuthus eupeus,Arthropoda,Arachnida,Scorpiones,Buthidae,Mesobuthus,Mesobuthus eupeus,terrestrial
