Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM,Gene Ontology (GO),Gene Ontology (molecular function),Protein existence
P01477,Crotalus helleri (Southern pacific rattlesnake) (Crotalus oreganus helleri),8741,Crotamine-myotoxin family,70,,LD(50) is 1.96 mg/kg by intravenous injection. {ECO:0000269|PubMed:694946}.,,GO:0044564 (envenomation resulting in occlusion of the pore of voltage-gated potassium channel in another organism); GO:0005576 (extracellular region); GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P24330,Crotalus adamanteus (Eastern diamondback rattlesnake),8729,Crotamine-myotoxin family,70,,LD(50) is 0.96 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:1862521}.,,GO:0044564 (envenomation resulting in occlusion of the pore of voltage-gated potassium channel in another organism); GO:0005576 (extracellular region); GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P63327,Crotalus durissus ruruima (South American rattlesnake) (Mt. Roraima rattlesnake),221570,Crotamine-myotoxin family,42,,,,GO:0044564 (envenomation resulting in occlusion of the pore of voltage-gated potassium channel in another organism); GO:0005576 (extracellular region); GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),GO:0015459 (potassium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DMZ1,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,81,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0C5F7,Anthopleura sp. (strain 'Zhanjiang') (Sea anemone),462333,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
Q9NJQ2,Actinia equina (Beadlet anemone),6106,Sea anemone sodium channel inhibitory toxin family,82,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P69943,Anemonia erythraea (Sea anemone),48400,Sea anemone sodium channel inhibitory toxin family,47,,LD(50) is 2.2 ug/kg to crabs. {ECO:0000269|PubMed:9133656}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01533,Anemonia sulcata (Mediterranean snakelocks sea anemone),6108,Sea anemone sodium channel inhibitory toxin family,46,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C1F0,Anthopleura elegantissima (Green aggregating anemone) (Actinia elegantissima),6110,Sea anemone sodium channel inhibitory toxin family,47,,LD(50) is 10 ug/kg by intramuscular injection into crabs. {ECO:0000269|PubMed:11072049}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P10453,Anthopleura fuscoviridis (Sea anemone),6111,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C5F8,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),6112,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0DTR3,Bunodosoma capense (Knobbly sea anemone) (Actinia capensis),2022720,Sea anemone sodium channel inhibitory toxin family,43,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C5G5,Radianthus crispa (Leathery sea anemone) (Heteractis crispa),3122430,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWU2,Actinia equina (Beadlet anemone),6106,Sea anemone sodium channel inhibitory toxin family,82,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
B1NWU3,Actinia equina (Beadlet anemone),6106,Sea anemone sodium channel inhibitory toxin family,82,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0DL50,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,80,,Dose that immobilizes and contracts insects (ED(50)) is 3.7 pmol/g body weight when intersegmentally injected into S.falculata. {ECO:0000269|PubMed:16846229}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C1F3,Anthopleura elegantissima (Green aggregating anemone) (Actinia elegantissima),6110,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWU4,Actinia equina (Beadlet anemone),6106,Sea anemone sodium channel inhibitory toxin family,82,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0DL51,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,80,,Dose that immobilizes and contracts insects (ED(50)) is 3.7 pmol/g body weight when intersegmentally injected into S.falculata. {ECO:0000269|PubMed:16846229}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DL52,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,80,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DL53,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,80,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DL54,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,80,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0C5F4,Anthopleura sp. (strain 'Zhanjiang') (Sea anemone),462333,Sea anemone sodium channel inhibitory toxin family,47,,LD(50) is 1.4 mg/kg when intraperitoneally injected into mice. {ECO:0000269|PubMed:12782079}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
B1NWT7,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,79,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P01528,Anemonia sulcata (Mediterranean snakelocks sea anemone),6108,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0DL49,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,80,,Dose that immobilizes and contracts insects (ED(50)) is 3.7 pmol/g body weight when intersegmentally injected into S.falculata. {ECO:0000269|PubMed:16846229}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P10454,Anthopleura fuscoviridis (Sea anemone),6111,Sea anemone sodium channel inhibitory toxin family,48,,LD(50) is 450 ug/kg by intraperitoneal injection into mice. {ECO:0000303|PubMed:15169781}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C5F9,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),6112,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0C1F4,Bunodosoma granuliferum (Red warty sea anemone),31164,Sea anemone sodium channel inhibitory toxin family,48,,LD(50) is 0.4 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:7911468}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWU5,Actinia equina (Beadlet anemone),6106,Sea anemone sodium channel inhibitory toxin family,82,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0C1F1,Anthopleura elegantissima (Green aggregating anemone) (Actinia elegantissima),6110,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P69928,Antheopsis maculata (Sea anemone),280228,Sea anemone sodium channel inhibitory toxin family,74,,LD(50) is 70 ug/kg into crabs. {ECO:0000269|PubMed:15581681}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C5G0,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),6112,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
Q7M425,Bunodosoma caissarum (Sea anemone),31165,Sea anemone sodium channel inhibitory toxin family,48,,LD(50) is 600 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:15169781}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C1F5,Bunodosoma granuliferum (Red warty sea anemone),31164,Sea anemone sodium channel inhibitory toxin family,48,,LD(50) is 21 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:7911468}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWU6,Actinia equina (Beadlet anemone),6106,Sea anemone sodium channel inhibitory toxin family,81,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P0C5G1,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),6112,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P01529,Anemonia sulcata (Mediterranean snakelocks sea anemone),6108,Sea anemone sodium channel inhibitory toxin family,46,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C5G2,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),6112,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
B1NWT3,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,72,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
P0C5G3,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),6112,Sea anemone sodium channel inhibitory toxin family,49,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0C5F5,Anthopleura sp. (strain 'Zhanjiang') (Sea anemone),462333,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
P0C5F6,Anthopleura sp. (strain 'Zhanjiang') (Sea anemone),462333,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),2: Evidence at transcript level;
B1NWT4,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,76,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0090729 (toxin activity),GO:0090729 (toxin activity),3: Inferred from homology;
B1NWT5,Anemonia viridis (Snakelocks anemone),51769,Sea anemone sodium channel inhibitory toxin family,83,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),3: Inferred from homology;
P01530,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),6112,Sea anemone sodium channel inhibitory toxin family,49,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C280,Condylactis gigantea (Giant Caribbean anemone) (Condylactis passiflora),47073,Sea anemone sodium channel inhibitory toxin family,47,,LD(100) is 5 ug/g when injected into fly larvae (M.domestica). {ECO:0000269|PubMed:29109403}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01531,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),6112,Sea anemone sodium channel inhibitory toxin family,49,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C7P9,Bunodosoma cangicum (Sea anemone),138296,Sea anemone sodium channel inhibitory toxin family,48,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0CH42,Condylactis gigantea (Giant Caribbean anemone) (Condylactis passiflora),47073,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P82803,Bunodosoma cangicum (Sea anemone),138296,Sea anemone sodium channel inhibitory toxin family,48,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C7Q0,Bunodosoma cangicum (Sea anemone),138296,Sea anemone sodium channel inhibitory toxin family,48,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P01532,Anthopleura elegantissima (Green aggregating anemone) (Actinia elegantissima),6110,Sea anemone sodium channel inhibitory toxin family,47,,LD(50) is 1 ug/kg by intramuscular injection into crabs (C.maenas). {ECO:0000269|PubMed:11072049}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P86459,Bunodosoma cangicum (Sea anemone),138296,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
Q76CA3,Stichodactyla gigantea (Giant carpet anemone) (Gigantic sea anemone),230562,Sea anemone sodium channel inhibitory toxin family,74,,LD(50) is 70 ug/kg to crabs. {ECO:0000269|PubMed:12565742}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
D2KX90,Cryptodendrum adhaesivum (Adhesive sea anemone),659513,Sea anemone sodium channel inhibitory toxin family,84,,LD(50) is 20 ug/kg to freshwater crabs. {ECO:0000269|PubMed:20817118}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P30831,Radianthus crispa (Leathery sea anemone) (Heteractis crispa),3122430,Sea anemone sodium channel inhibitory toxin family,48,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P19651,Stichodactyla helianthus (Sun anemone) (Stoichactis helianthus),6123,Sea anemone sodium channel inhibitory toxin family,48,,LD(50) is 0.3 ug/kg by intrahemocoelic injection. {ECO:0000269|PubMed:2568126}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
D2KX92,Thalassianthus aster (Fuzzy-tipped anemone),659516,Sea anemone sodium channel inhibitory toxin family,84,,LD(50) is 24 ug/kg to freshwater crabs. {ECO:0000269|PubMed:20817118}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWS4,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWS1,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWR6,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P30783,Radianthus crispa (Leathery sea anemone) (Heteractis crispa),3122430,Sea anemone sodium channel inhibitory toxin family,48,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0CH90,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0CH46,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P30832,Radianthus crispa (Leathery sea anemone) (Heteractis crispa),3122430,Sea anemone sodium channel inhibitory toxin family,48,,,"Delta-SHTX-Hcr1f (RTX-VI) may be the result of post-translational modification of delta-SHTX-Hcr1a (RTX-III), which would consist of Arg- 13 cleavage. {ECO:0000305|PubMed:33368037}.",GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWS8,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
A7SCE5,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1NWR7,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P30784,Radianthus crispa (Leathery sea anemone) (Heteractis crispa),3122430,Sea anemone sodium channel inhibitory toxin family,48,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
B1B5I9,Stichodactyla haddoni (Saddle carpet anemone) (Haddon's sea anemone),475174,Sea anemone sodium channel inhibitory toxin family,84,,LD(50) is 93 ug/kg into crabs. {ECO:0000269|PubMed:18243416}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P30785,Radianthus crispa (Leathery sea anemone) (Heteractis crispa),3122430,Sea anemone sodium channel inhibitory toxin family,47,,,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0CH45,Nematostella vectensis (Starlet sea anemone),45351,Sea anemone sodium channel inhibitory toxin family,85,,PD(50) is 76 nmol/kg into blowfly larvae. {ECO:0000269|PubMed:18538344}.,,GO:0005576 (extracellular region); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),5: Uncertain;
Q76CA0,Stichodactyla gigantea (Giant carpet anemone) (Gigantic sea anemone),230562,Sea anemone sodium channel inhibitory toxin family,84,,LD(50) is 120 ug/kg to crabs. {ECO:0000269|PubMed:12565742}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
P0C5G6,Halcurias carlgreni (Sea anemone),462315,Sea anemone sodium channel inhibitory toxin family,47,,LD(50) is 5.8 ug/kg against crabs. {ECO:0000269|PubMed:9133708}.,,GO:0005576 (extracellular region); GO:0042151 (nematocyst); GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),GO:0017080 (sodium channel regulator activity); GO:0090729 (toxin activity),1: Evidence at protein level;
