Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM
P20476,Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper),8767,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q45Z30,Tropidechis carinatus (Australian rough-scaled snake),100989,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,151,,,
Q910A1,Vipera ammodytes ammodytes (Western sand viper),8705,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
F8QN52,Vipera renardi (Steppe viper) (Vipera ursinii renardi),927686,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
C1IC46,Walterinnesia aegyptia (Desert black snake),64182,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,137,fragment,,
P07037,Aspidelaps scutatus (Shield-nose snake),8607,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,,
P00621,Bitis nasicornis (Rhinoceros adder) (Rhinoceros viper),8695,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,119,,,Contains 6 disulfide bonds.
P86389,Bothrops asper (Terciopelo),8722,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,124,,,
P84397,Bothrops insularis (Golden lancehead) (Lachesis insularis),8723,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,107,fragment,,
Q7T2Q4,Bungarus flaviceps flaviceps (Red-headed krait),8615,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,147,,,
P0CAS0,Cerastes cerastes (Horned desert viper),8697,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,136,,,Glycosylated (2.5%).
A8CG87,Daboia russelii (Russel's viper) (Vipera russelii),31159,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
A8CG78,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),343250,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P24294,Eristicophis macmahoni (Leaf-nosed viper),110227,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,121,,,
P80003,Heloderma suspectum (Gila monster),8554,phospholipase A2 family. Group III subfamily,142,,,
B6CQR5,Macrovipera lebetina (Levantine viper) (Vipera lebetina),8709,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q91133,Naja atra (Chinese cobra),8656,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
P00597,Naja kaouthia (Monocled cobra) (Naja siamensis),8649,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,LD(50) is 4.4 mg/kg by intravenous injection.,
P00600,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,,
P15445,Naja naja (Indian cobra),35670,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,,
P60044,Naja sagittifera (Andaman cobra),195058,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,126,fragment,,
Q9DF33,Ophiophagus hannah (King cobra) (Naja hannah),8665,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
Q9I968,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),103944,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q9W7J3,Pseudonaja textilis (Eastern brown snake),8673,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,154,,,
P81478,Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper),8767,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
Q45Z29,Tropidechis carinatus (Australian rough-scaled snake),100989,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,151,,,
F8QN53,Vipera renardi (Steppe viper) (Vipera ursinii renardi),927686,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,137,,LD(50) is 10.7 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:21185324}.,
C1IC45,Walterinnesia aegyptia (Desert black snake),64182,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,137,fragment,,
Q6YNQ0,Bungarus candidus (Malayan krait),92438,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,137,fragment,,
P00619,Bungarus multicinctus (Many-banded krait),8616,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,147,,LD(50) is 0.13 mg/kg by intraperitoneal injection.,
P00601,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,,
P60045,Naja sagittifera (Andaman cobra),195058,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,126,fragment,,
P20251,Pseudechis australis (Mulga snake) (King brown snake),8670,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,118,,LD(50) is 0.21 mg/kg by intravenous injection. {ECO:0000269|PubMed:2343466}.,
P81480,Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper),8767,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
Q45Z28,Tropidechis carinatus (Australian rough-scaled snake),100989,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,151,,,
F8QN51,Vipera renardi (Steppe viper) (Vipera ursinii renardi),927686,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,137,,,
Q9PUI0,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,147,,,
P86456,Bothrops alternatus (Urutu) (Rhinocerophis alternatus),64174,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,121,,,
P17934,Bungarus multicinctus (Many-banded krait),8616,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,147,,,
P59170,Echis carinatus sochureki (Saw-scaled viper),124223,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,139,,,
Q6T179,Naja sagittifera (Andaman cobra),195058,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,126,fragment,,
P81479,Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper),8767,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
P82895,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily,24,fragment,,
Q45Z27,Tropidechis carinatus (Australian rough-scaled snake),100989,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,151,,,
Q9PUH9,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,147,,,
P59171,Echis ocellatus (Ocellated saw-scaled viper),99586,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P59172,Echis pyramidum leakeyi (Leakey's carpet viper) (Echis carinatus leakeyi),38415,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,139,,,
O42189,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),8714,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,124,,,
Q8UW31,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,152,,,
Q5G291,Naja sagittifera (Andaman cobra),195058,phospholipase A2 family. Group I subfamily. C49 sub-subfamily,125,fragment,,
P82896,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
Q45Z26,Tropidechis carinatus (Australian rough-scaled snake),100989,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,151,,,
Q9PUH8,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,147,,,
Q90251,Bungarus multicinctus (Many-banded krait),8616,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,137,fragment,,
D6MKR0,Crotalus horridus (Timber rattlesnake),35024,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
O42190,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),8714,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,124,,,
Q5G290,Naja sagittifera (Andaman cobra),195058,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,125,fragment,,
P70088,Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper),8767,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q45Z25,Tropidechis carinatus (Australian rough-scaled snake),100989,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,151,,,
Q9PUH7,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,144,,,
Q9PWR6,Daboia palaestinae (Palestine viper) (Vipera palaestinae),1170828,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P31100,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),343250,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
O42191,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),8714,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,124,,,
Q9YGJ7,Daboia palaestinae (Palestine viper) (Vipera palaestinae),1170828,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,137,,,
O42192,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),8714,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
P86523,Acanthophis antarcticus (Common death adder),8605,phospholipase A2 family. Group I subfamily,27,fragment,,
Q9PUH4,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
Q9PVF1,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),8717,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,126,fragment,,
P0DJR1,Crotalus horridus (Timber rattlesnake),35024,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q800C4,Crotalus viridis viridis (Prairie rattlesnake),8742,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q7T2R1,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),343250,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,"The lethal (intraperitoneal) dose of DbTx-B is estimated to be 0.5 ug/g, while that of the heterodimer is about 0.1 ug/g. {ECO:0000269|PubMed:17505111}.",
P0DKR3,Pseudocerastes fieldi (Field's horned viper) (Pseudocerastes persicus fieldi),1355908,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
Q2YHJ6,Trimeresurus puniceus (Flat-nosed pitviper),197218,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q6H3D0,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q9PUH3,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
Q802I1,Bungarus candidus (Malayan krait),92438,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,142,fragment,,
Q9PVF0,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),8717,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,126,fragment,,
P0DJR2,Crotalus horridus (Timber rattlesnake),35024,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q7ZTA6,Crotalus viridis viridis (Prairie rattlesnake),8742,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q7T3T5,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),343250,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,130,fragment,"DbTx-A alone is non-lethal, even at doses as high as 2 ug/g. The lethal (intraperitoneal) dose of the heterodimer is estimated to be about 0.1 ug/g. {ECO:0000269|PubMed:17505111}.",
P0DKR4,Pseudocerastes fieldi (Field's horned viper) (Pseudocerastes persicus fieldi),1355908,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,20,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q2YHJ5,Trimeresurus puniceus (Flat-nosed pitviper),197218,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
P0DJP6,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q9PUH2,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
Q9PVE9,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),8717,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,139,,,
P0DJM5,Crotalus viridis viridis (Prairie rattlesnake),8742,phospholipase A2 family. Group II subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q92086,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
P30811,Pseudonaja textilis (Eastern brown snake),8673,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,145,,Oligomer: LD(50) is 1 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:8431471}.,
P0DJP4,Trimeresurus puniceus (Flat-nosed pitviper),197218,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,fragment,,
Q6H3C9,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q9PUH1,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
Q7ZTA7,Crotalus oreganus abyssus (Grand Canyon rattlesnake) (Crotalus abyssus),128077,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,LD(50) is 1.8 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:24707493}.,
Q9I900,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),33626,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
P23028,Pseudonaja textilis (Eastern brown snake),8673,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,152,,Oligomer: LD(50) is 1 ug/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:8431471}.,
Q6H3C7,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,139,,,
Q9PUH0,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
Q9PVF2,Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma),8717,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,139,,,
Q7ZTA8,Crotalus viridis viridis (Prairie rattlesnake),8742,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P25498,Naja oxiana (Central Asian cobra) (Oxus cobra),8657,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,,
Q9PSN5,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,125,,,No glycosylation was detected on this protein.
P0DJP7,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q9PUG9,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,144,,,
Q800C3,Crotalus viridis viridis (Prairie rattlesnake),8742,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q6H3C8,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q9PUG8,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,152,,,This enzyme lacks one of the seven disulfide bonds found in similar PLA2 proteins.
Q800C2,Crotalus viridis viridis (Prairie rattlesnake),8742,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P0DJP8,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q9PUG7,Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus),29156,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,152,,,
Q800C1,Crotalus viridis viridis (Prairie rattlesnake),8742,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P0DJP9,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q6H3C6,Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri),39682,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
Q92147,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis),88087,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P08872,Aipysurus laevis (Olive sea snake),8678,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,144,,,
P00620,Bitis gabonica (Gaboon adder) (Gaboon viper),8694,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,118,,,Six disulfide bonds are present.
P86907,Bothrops ammodytoides (Yarara nata) (Patagonian lancehead),169857,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,LD(50) is 292.5 ug/kg by intravenous injection into mice. {ECO:0000269|PubMed:22975267}.,Contains 7 disulfide bonds. {ECO:0000269|PubMed:22975267}.
Q2HZ28,Bothrops erythromelas (Caatinga lance head),44710,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P0DMH0,Bothrops fonsecai (Fonseca's lancehead) (Rhinocerophis fonsecai),157549,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,51,fragment,,
Q8QG87,Bothrops insularis (Golden lancehead) (Lachesis insularis),8723,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P81243,Bothrops jararaca (Jararaca) (Bothrops jajaraca),8724,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,124,,,
Q8AXY1,Bothrops jararacussu (Jararacussu),8726,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,"LD(50) show no toxicity when injected into mice: 25 mg/kg by intraperitoneal injection, 7.5 mg/kg by intravenous injection, and 0.5 mg/kg by intracerebroventricular injection. {ECO:0000269|PubMed:12167491}.",
P0DJ62,Bothrops leucurus (Whitetail lancehead),157295,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,60,fragment,,
G3DT18,Bothrops moojeni (Lance-headed viper) (Caissaca),98334,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
D0UGJ0,Bothrops pauloensis (Neuwied's lancehead) (Bothrops neuwiedi pauloensis),1042543,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,139,,,
Q9I8F8,Bothrops pictus (Desert lancehead),133440,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
Q6YIJ3,Bungarus candidus (Malayan krait),92438,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,137,fragment,,
P0C551,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),8613,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,142,fragment,,
P00606,Bungarus multicinctus (Many-banded krait),8616,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,145,,,
P21789,Cerastes cerastes (Horned desert viper),8697,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,120,,,
P00623,Crotalus adamanteus (Eastern diamondback rattlesnake),8729,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P00624,Crotalus atrox (Western diamondback rattlesnake),8730,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P18998,Crotalus scutulatus scutulatus (Mojave rattlesnake),8738,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q98996,Daboia palaestinae (Palestine viper) (Vipera palaestinae),1170828,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P0DJP5,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),343250,phospholipase A2 family. Group II subfamily,18,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
Q7SID6,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus),36307,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,123,,,
P20249,Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi),242054,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
P14418,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),8714,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,124,,,
Q7LZQ4,Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffii ussuriensis),35671,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,124,,,
P84651,Lachesis stenophrys (Central American bushmaster),88085,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
B5U6Z2,Macrovipera lebetina transmediterranea (Blunt-nosed viper) (Vipera lebetina transmediterranea),384075,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
A4FS04,Naja atra (Chinese cobra),8656,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,,
P20146,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),70142,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,145,,,
Q9DF56,Ophiophagus hannah (King cobra) (Naja hannah),8665,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,152,,,
P0DJJ7,Ovophis monticola (Chinese mountain pitviper) (Trimeresurus monticola),103941,phospholipase A2 family. Group II subfamily,29,fragment,,
B3EWG8,Porthidium nasutum (Hognosed pitviper) (Bothrops nasutus),74558,phospholipase A2 family. Group II subfamily,10,fragment,,
Q2PG83,Protobothrops elegans (Elegant pitviper) (Trimeresurus elegans),88086,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q8JIY9,Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii),242841,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P20250,Pseudechis australis (Mulga snake) (King brown snake),8670,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,117,,LD(50) is 0.13 mg/kg by intravenous injection. {ECO:0000269|PubMed:2343466}.,
Q6EAN6,Sistrurus tergeminus (Western massasauga) (Sistrurus catenatus tergeminus),8757,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
Q2YHJ3,Trimeresurus borneensis (Borneo pit viper),109778,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
A8E2V8,Trimeresurus gracilis (Kikuchi habu),109781,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,139,,,
P04084,Vipera ammodytes meridionalis (Eastern sand viper),73841,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,LD(50) of the acidic component is >30 mg/kg by intraperitoneal injection into mice. {ECO:0000269|PubMed:23554559}.,
Q8UW08,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),8781,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
P81236,Acanthophis antarcticus (Common death adder),8605,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,,
C0HKC4,Agkistrodon piscivorus conanti (Florida cottonmouth),1928342,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,123,,,
P51972,Agkistrodon piscivorus piscivorus (Eastern cottonmouth),8716,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,123,,,Acylation causes dimerization. {ECO:0000269|PubMed:3403524}.
C0HKC3,Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma),459671,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,139,,,Acylation causes dimerization. {ECO:0000250|UniProtKB:P51972}.
Q90249,Bothrops jararacussu (Jararacussu),8726,phospholipase A2 family. Group II subfamily. K49 sub-subfamily,137,,"LD(50) is 7.5-8.5 mg/kg by intraperitoneal injection and 4.8 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:11018293, ECO:0000269|PubMed:3176051}.",
P86803,Bothrops marajoensis (Marajo lancehead),157554,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,121,,,
P0C8M1,Bothrops moojeni (Lance-headed viper) (Caissaca),98334,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,121,,,
P0DM51,Bothrops pauloensis (Neuwied's lancehead) (Bothrops neuwiedi pauloensis),1042543,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,50,fragment,LD(50) is 2.3 +/- 0.8 mg/kg by intravenous injection into mice. {ECO:0000269|PubMed:15302537}.,Contains 7 disulfide bonds.
Q8AY48,Bungarus candidus (Malayan krait),92438,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,137,fragment,,
Q8QFW4,Bungarus caeruleus (Indian krait),132961,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,147,,,
Q90WA7,Bungarus fasciatus (Banded krait) (Pseudoboa fasciata),8613,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,145,,,
Q7T1R0,Bungarus flaviceps flaviceps (Red-headed krait),8615,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,146,,,
P00617,Bungarus multicinctus (Many-banded krait),8616,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,147,,LD(50) is 0.019 mg/kg by intraperitoneal injection in beta-1 bungarotoxin and 0.028 mg/kg in beta-2.,
P0DJM9,Crotalus basiliscus (Mexican west-coast rattlesnake),8744,phospholipase A2 family. Group II subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
P0DJN1,Crotalus durissus cumanensis (South American rattlesnake),184542,phospholipase A2 family. Group II subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
P62023,Crotalus scutulatus scutulatus (Mojave rattlesnake),8738,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P0DJN0,Crotalus vegrandis (Uracoan rattlesnake) (Crotalus durissus vegrandis),184545,phospholipase A2 family. Group II subfamily,23,fragment,,Contains 7 disulfide bonds. {ECO:0000250}.
A8CG89,Daboia russelii (Russel's viper) (Vipera russelii),31159,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
A8CG82,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis),343250,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,138,,,
P00595,Hemachatus haemachatus (Rinkhals) (Sepedon haemachatus),8626,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,LD(50) is 8.6 mg/kg by intravenous injection.,
P0C942,Lachesis muta muta (Bushmaster),8753,phospholipase A2 family. Group II subfamily. D49 sub-subfamily,122,,,
Q8UUI0,Laticauda colubrina (Yellow-lipped sea krait) (Banded sea krait),8628,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,155,,,
C0HKB9,Micrurus mipartitus (Red-tailed coral snake),430902,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,119,,LD(50) is 0.1 ug/g when injected intraperitoneally in mice. {ECO:0000269|PubMed:21963438}.,
P0CAS9,Micrurus pyrrhocryptus (Coral snake),129468,phospholipase A2 family. Group II subfamily,34,fragment,,Contains seven disulfide bonds. {ECO:0000250}.
P00599,Naja melanoleuca (Forest cobra) (Black-lipped cobra),8643,phospholipase A2 family. Group I subfamily. D49 sub-subfamily,118,,,
